ID del canal,Título del canal,categoria,logo_url
UCaMuup60LhtNGniZKptQPcw,Lens Studio,Inteligencia artificial / ML / Data Science,https://yt3.ggpht.com/4N2NwHXqFUbNZQUMgm2vyF5InEoUOB-TqoW-SSZ9_6gZuulYqbxUrGAXGUn1vN0estb1WI47=s240-c-k-c0x00ffffff-no-rj
UCaN0Sh22At0y4iQetwzR1Lw,The Investing Corner,"Economía, finanzas y negocios",https://yt3.ggpht.com/ATN-RxRnZiujS9_nmLBdr_vCxkcKPyFaBxywGw0EeSSANdtOagZaaiP4bdXNusn4Xk_zMWqCEQ=s240-c-k-c0x00ffffff-no-rj
UCaTmMZaFzAJnp6BIwTsMQZA,Ruta N,"Economía, finanzas y negocios",https://yt3.ggpht.com/l9eObXr2065eJcrIc5cJIm86aHTwD_SzoFwPEvKGYvyWac1gV_4DB7bLThUK9WYdS8aOSQqY=s240-c-k-c0x00ffffff-no-rj
UCaXkIU1QidjPwiAYu6GcHjg,MS NOW,Noticias y medios (internacionales),https://yt3.ggpht.com/k6bDbWwngaO6KSyL1lxkmFIbW6ncdoLKITtcqTumbD5wBazaJltUEkJdrfHjuMtDrHltYaIbLd0=s240-c-k-c0x00ffffff-no-rj
UCabV21kJBtKY1Wv6Q6-jHyA,Todo es Ciencia_MinCiencias,Política y gobierno de Colombia,
UCac6m8K3OGHUT4itHwpCAmw,Lost in Time,"Historia, documentales y cultura",https://yt3.ggpht.com/4ss1iBtPtrBzTZKrgy82mXsUkrY759c4htrFzK1SWGPlvA5cZ0Ra-XTms-RF9c5PpRkFLRKvaQ=s240-c-k-c0x00ffffff-no-rj
UCacTCU_5Z-5YgoKiJJHn9eQ,Canal Institucional,Política y gobierno de Colombia,https://yt3.ggpht.com/KPWZpJUCiqo28r44en69wZ9D0dH8MHpB84k2HiqIXCY983phmV0myaQlz3zswSHRRAmWHe9N=s240-c-k-c0x00ffffff-no-rj
UCad1pq_FAygE4VaDLJMZ8BA,Masters Of Craft,"Historia, documentales y cultura",https://yt3.ggpht.com/-xV12c3PirpyN1ojWcQnrRKjs-ZcmJ2pj-ik9I0zWIYBpvSoUfDX4IIMiVjZzNCJoP2sb7Efng=s240-c-k-c0x00ffffff-no-rj
UCadVGkh-CrparnJIgmv5Iuw,Ease With Data,Infraestructura cloud / software empresarial,https://yt3.ggpht.com/hCuRokRwmGdnzPIhVUWXfI2LUH2_aB1BXZNKRkEMcNsIVXr0jAHiqcDlXQQE-n8KEyxV4KXe=s240-c-k-c0x00ffffff-no-rj
UCamEY-0eG_zIhxyt30QR5Dw,Feria del Libro Bogotá,"Historia, documentales y cultura",https://yt3.ggpht.com/ytc/AIdro_kDTg35j5NhfXBT9GSKlYLjDdiQgpqxiy2jAzZJV2rGpzQ=s240-c-k-c0x00ffffff-no-rj
UCar-6u29yx565TF618pd25Q,Red Paz - Universidad Nacional de Colombia,Universidades y academia,https://yt3.ggpht.com/ytc/AIdro_mdes53TcjWPOweWh2DRmdi0jmUX1pnOwqsCYSO7QOfZW0=s240-c-k-c0x00ffffff-no-rj
UCatt7TBjfBkiJWx8khav_Gg,Piers Morgan Uncensored,"Podcasts, entrevistas y opinión",https://yt3.ggpht.com/bEvmu5a2PUTokDPxgxSwS65A9NjESfpDi36suWWhB0aw6rOmeiUMDBdsxfLSs4Wg4pxnCfCzKw=s240-c-k-c0x00ffffff-no-rj
UCawZsQWqfGSbCI5yjkdVkTA,Matthew Berman,Empresas de hardware / tecnología de consumo,https://yt3.ggpht.com/1X83USLZjNCWy21jOEP9rhsLujx6airwI-ANVsBhWMoErFuUkbx6-tDBjM-OAaIwxDv8MoUlHUk=s240-c-k-c0x00ffffff-no-rj
UCay5mclHBbWQTQ8fhoNCWow,JEP Colombia,Política y gobierno de Colombia,https://yt3.ggpht.com/qE6eGRg_jYKatJ5DlErnjmR5bEBboAk-UDLpuF-mtGAXf6f2ePN4QADmAO8RKV2uOWlsVKNvRho=s240-c-k-c0x00ffffff-no-rj
UCayX8aCISrgN_Yv719LW3KA,ITM Académico,Universidades y academia,https://yt3.ggpht.com/rySrznCiQYRxOC7Ka8GNJQtWkIBUedRisxlv7s_xF3R_ZkdMkmW3Ugti21S4eN-UxGnIdKheMw=s240-c-k-c0x00ffffff-no-rj
UCazdtsAB-MFq3uyDEY7Ttdg,Bluefors,"Física, matemáticas y ciencia fundamental",https://yt3.ggpht.com/ytc/AIdro_kYWw97FRpE0mxvLG_1-GPqmr-_WtCvvr1490V7dNHgUQ=s240-c-k-c0x00ffffff-no-rj
UCb--64Gl51jIEVE-GLDAVTg,C-SPAN,Noticias y medios (internacionales),https://yt3.ggpht.com/ytc/AIdro_mE7sPnKhbJKbqDc9ESEjaK0Ip3jwQkGY4a3USPkxEXSUw=s240-c-k-c0x00ffffff-no-rj
UCb1GdqUqArXMQ3RS86lqqOw,iNeuron Intelligence,Inteligencia artificial / ML / Data Science,https://yt3.ggpht.com/w_SOmqeOYbkseR1IR4Sq4hTcxKRld7XgfbCDP-zuSY0SekoJruge26gzmwBsnkOx2GFERpLN2Y8=s240-c-k-c0x00ffffff-no-rj
UCb1Ti1WKPauPpXkYKVHNpsw,LBC,Noticias y medios (internacionales),https://yt3.ggpht.com/lpwwyNcTDyHa_l8glu-RLPEEIm0aUwg5yU8W_eb2CAfiMrik8nZX-DoXQfUOUufMK2q0qKO8vg=s240-c-k-c0x00ffffff-no-rj
UCb1_XDq0jR_io5zs3CJneag,Michael Dean,"Fitness, ejercicio y salud física",https://yt3.ggpht.com/y9lBJ3FqoOncMwY7OYk5EVRy_odTrFYtqEMXinJMae3PDyjQdCy8iWgz36i07--xsaMY_YwZxQ=s240-c-k-c0x00ffffff-no-rj
UCb3zBdj2HbRQBR4-A4AQ91A,Radio Nacional de Colombia,Noticias y medios (Colombia),https://yt3.ggpht.com/Uh6YNWhLJGxEbGClnohSVO8WKlzU3pSbnIds_ecox2GlshV567ZyBgOHxYqmDbnEa4tnZ0kBrw=s240-c-k-c0x00ffffff-no-rj
UCb4v3wdXNeIB_7bR7EzElvQ,Hudson River Trading,"Economía, finanzas y negocios",https://yt3.ggpht.com/t49Vuglk5butf_RWNoOAFe4Rhn0Vr1dE8bslffQLDXWUptX7CDEm86Qh69SjsIVAOU3lE0ga8Dk=s240-c-k-c0x00ffffff-no-rj
UCb5C-ZmnS7LCceibbf1ZzzA,J3 University,Universidades y academia,https://yt3.ggpht.com/7mXLAZH3iw8dh9G8Q9xgzk0--HKabSr-wqjRg6xaT83NdHoyUqT_GZHm1dUjL7MsTOAFzLCz=s240-c-k-c0x00ffffff-no-rj
UCb72Gn5LXaLEcsOuPKGfQOg,DW Planet A,Noticias y medios (internacionales),https://yt3.ggpht.com/Ffxmm2ypsWi57SwzljPgLohBhQbdGm7TQB-Lcr2rQvXlQJ44r96nqgAiWwfT1DaIEHa3qD3TKA=s240-c-k-c0x00ffffff-no-rj
